Data,Parcela,Treatment,time_last_fire,alt_sensor,temp_max
julho_2015,17,Bienal,2_yrs,aunderground,45
julho_2015,17,Bienal,2_yrs,aunderground,63
julho_2015,17,Bienal,2_yrs,aunderground,59
julho_2015,17,Bienal,2_yrs,aunderground,66
julho_2015,10,Bienal,2_yrs,aunderground,82
julho_2015,10,Bienal,2_yrs,aunderground,64
julho_2015,10,Bienal,2_yrs,aunderground,38
julho_2015,10,Bienal,2_yrs,aunderground,41
julho_2015,23,Bienal,2_yrs,aunderground,39
julho_2015,23,Bienal,2_yrs,aunderground,39
julho_2015,23,Bienal,2_yrs,aunderground,45
julho_2015,23,Bienal,2_yrs,aunderground,63
julho_2015,2,Bienal,2_yrs,aunderground,39
julho_2015,2,Bienal,2_yrs,aunderground,65
julho_2015,2,Bienal,2_yrs,aunderground,64
julho_2015,2,Bienal,2_yrs,aunderground,38
julho_2015,17,Bienal,2_yrs,soil,581
julho_2015,17,Bienal,2_yrs,soil,505
julho_2015,17,Bienal,2_yrs,soil,490
julho_2015,17,Bienal,2_yrs,soil,455
julho_2015,10,Bienal,2_yrs,soil,407
julho_2015,10,Bienal,2_yrs,soil,260
julho_2015,10,Bienal,2_yrs,soil,431
julho_2015,10,Bienal,2_yrs,soil,352
julho_2015,23,Bienal,2_yrs,soil,460
julho_2015,23,Bienal,2_yrs,soil,362
julho_2015,23,Bienal,2_yrs,soil,371
julho_2015,23,Bienal,2_yrs,soil,163
julho_2015,2,Bienal,2_yrs,soil,176
julho_2015,2,Bienal,2_yrs,soil,296
julho_2015,2,Bienal,2_yrs,soil,384
julho_2015,2,Bienal,2_yrs,soil,477
julho_2015,17,Bienal,2_yrs,zaboveground,440
julho_2015,17,Bienal,2_yrs,zaboveground,496
julho_2015,17,Bienal,2_yrs,zaboveground,484
julho_2015,17,Bienal,2_yrs,zaboveground,170
julho_2015,17,Bienal,2_yrs,zaboveground,231
julho_2015,10,Bienal,2_yrs,zaboveground,234
julho_2015,10,Bienal,2_yrs,zaboveground,151
julho_2015,10,Bienal,2_yrs,zaboveground,75
julho_2015,10,Bienal,2_yrs,zaboveground,463
julho_2015,23,Bienal,2_yrs,zaboveground,451
julho_2015,23,Bienal,2_yrs,zaboveground,496
julho_2015,23,Bienal,2_yrs,zaboveground,367
julho_2015,23,Bienal,2_yrs,zaboveground,358
julho_2015,2,Bienal,2_yrs,zaboveground,207
julho_2015,2,Bienal,2_yrs,zaboveground,390
julho_2015,2,Bienal,2_yrs,zaboveground,353
julho_2015,20,anual,1_yr,aunderground,29
julho_2015,20,anual,1_yr,aunderground,64
julho_2015,20,anual,1_yr,aunderground,36
julho_2015,20,anual,1_yr,aunderground,30
julho_2015,16,anual,1_yr,aunderground,30
julho_2015,16,anual,1_yr,aunderground,62
julho_2015,16,anual,1_yr,aunderground,63
julho_2015,11,anual,1_yr,aunderground,48
julho_2015,11,anual,1_yr,aunderground,34
julho_2015,11,anual,1_yr,aunderground,49
julho_2015,4,anual,1_yr,aunderground,31
julho_2015,4,anual,1_yr,aunderground,29
julho_2015,4,anual,1_yr,aunderground,68
julho_2015,4,anual,1_yr,aunderground,34
julho_2015,4,anual,1_yr,soil,252
julho_2015,4,anual,1_yr,soil,214
julho_2015,4,anual,1_yr,soil,208
julho_2015,4,anual,1_yr,soil,307
julho_2015,11,anual,1_yr,soil,260
julho_2015,11,anual,1_yr,soil,368
julho_2015,16,anual,1_yr,soil,288
julho_2015,16,anual,1_yr,soil,366
julho_2015,20,anual,1_yr,soil,249
julho_2015,20,anual,1_yr,soil,291
julho_2015,20,anual,1_yr,soil,286
julho_2015,20,anual,1_yr,soil,388
julho_2015,20,anual,1_yr,zaboveground,420
julho_2015,20,anual,1_yr,zaboveground,259
julho_2015,20,anual,1_yr,zaboveground,370
julho_2015,20,anual,1_yr,zaboveground,150
julho_2015,16,anual,1_yr,zaboveground,252
julho_2015,16,anual,1_yr,zaboveground,235
julho_2015,16,anual,1_yr,zaboveground,396
julho_2015,11,anual,1_yr,zaboveground,281
julho_2015,11,anual,1_yr,zaboveground,215
julho_2015,11,anual,1_yr,zaboveground,373
julho_2015,4,anual,1_yr,zaboveground,259
julho_2015,4,anual,1_yr,zaboveground,304
julho_2015,4,anual,1_yr,zaboveground,327
julho_2015,7,quadrienal,4_yrs,aunderground,60
julho_2015,7,quadrienal,4_yrs,aunderground,43
julho_2015,7,quadrienal,4_yrs,aunderground,62
julho_2015,7,quadrienal,4_yrs,aunderground,63
julho_2015,5,quadrienal,4_yrs,aunderground,39
julho_2015,5,quadrienal,4_yrs,aunderground,72
julho_2015,5,quadrienal,4_yrs,aunderground,80
julho_2015,5,quadrienal,4_yrs,aunderground,40
julho_2015,15,quadrienal,4_yrs,aunderground,131
