Data;Plot;Treatment;time_last_fire;altura_cm;altura_m
julho_2015;17;Bienal;2_yrs;250;2.5
julho_2015;17;Bienal;2_yrs;300;3
julho_2015;17;Bienal;2_yrs;300;3
julho_2015;17;Bienal;2_yrs;350;3.5
julho_2015;17;Bienal;2_yrs;350;3.5
julho_2015;10;Bienal;2_yrs;250;2.5
julho_2015;10;Bienal;2_yrs;200;2
julho_2015;10;Bienal;2_yrs;250;2.5
julho_2015;10;Bienal;2_yrs;100;1
julho_2015;10;Bienal;2_yrs;100;1
julho_2015;23;Bienal;2_yrs;250;2.5
julho_2015;23;Bienal;2_yrs;250;2.5
julho_2015;23;Bienal;2_yrs;300;3
julho_2015;23;Bienal;2_yrs;300;3
julho_2015;23;Bienal;2_yrs;250;2.5
julho_2015;2;Bienal;2_yrs;350;3.5
julho_2015;2;Bienal;2_yrs;550;5.5
julho_2015;2;Bienal;2_yrs;500;5
julho_2015;2;Bienal;2_yrs;500;5
julho_2015;2;Bienal;2_yrs;600;6
julho_2015;20;anual;1_yr;250;2.5
julho_2015;20;anual;1_yr;350;3.5
julho_2015;20;anual;1_yr;300;3
julho_2015;20;anual;1_yr;200;2
julho_2015;20;anual;1_yr;100;1
julho_2015;16;anual;1_yr;300;3
julho_2015;16;anual;1_yr;300;3
julho_2015;16;anual;1_yr;350;3.5
julho_2015;16;anual;1_yr;250;2.5
julho_2015;16;anual;1_yr;250;2.5
julho_2015;11;anual;1_yr;250;2.5
julho_2015;11;anual;1_yr;300;3
julho_2015;11;anual;1_yr;350;3.5
julho_2015;11;anual;1_yr;300;3
julho_2015;11;anual;1_yr;350;3.5
julho_2015;4;anual;1_yr;350;3.5
julho_2015;4;anual;1_yr;400;4
julho_2015;4;anual;1_yr;500;5
julho_2015;4;anual;1_yr;350;3.5
julho_2015;4;anual;1_yr;300;3
julho_2015;7;quadrienal;4_yrs;450;4.5
julho_2015;7;quadrienal;4_yrs;500;5
julho_2015;7;quadrienal;4_yrs;550;5.5
julho_2015;7;quadrienal;4_yrs;400;4
julho_2015;7;quadrienal;4_yrs;600;6
julho_2015;5;quadrienal;4_yrs;200;2
julho_2015;5;quadrienal;4_yrs;250;2.5
julho_2015;5;quadrienal;4_yrs;600;6
julho_2015;5;quadrienal;4_yrs;500;5
julho_2015;5;quadrienal;4_yrs;500;5
julho_2015;15;quadrienal;4_yrs;600;6
julho_2015;15;quadrienal;4_yrs;600;6
julho_2015;15;quadrienal;4_yrs;700;7
julho_2015;15;quadrienal;4_yrs;800;8
julho_2015;15;quadrienal;4_yrs;600;6
julho_2015;21;quadrienal;4_yrs;350;3.5
julho_2015;21;quadrienal;4_yrs;700;7
julho_2015;21;quadrienal;4_yrs;700;7
julho_2015;21;quadrienal;4_yrs;800;8
julho_2015;21;quadrienal;4_yrs;800;8
;;;;;
