Data,Plot,Subplot,Treatment,tratamento,treat,fuel_type,fuel_type2,fuel,below_mean,below_ab,ss_mean,ss_ab,above_mean,above_ab,
Ago_2015,2,1,Biennial,2_yrs,1,total_fuel,atotal_fuel,0.6318,51.5,65,333.25,477,327,390,
Ago_2015,2,2,Biennial,2_yrs,1,total_fuel,atotal_fuel,1.18,51.5,65,333.25,477,327,390,
Ago_2015,2,3,Biennial,2_yrs,1,total_fuel,atotal_fuel,0.58676,51.5,65,333.25,477,327,390,
Ago_2015,2,4,Biennial,2_yrs,1,total_fuel,atotal_fuel,0.42144,51.5,65,333.25,477,327,390,
Ago_2015,2,5,Biennial,2_yrs,1,total_fuel,atotal_fuel,1.35,51.5,65,333.25,477,327,390,
Ago_2015,4,1,Annual,1_yr,0,total_fuel,atotal_fuel,0.54036,40.5,68,245.3,307,296.7,327,
Ago_2015,4,2,Annual,1_yr,0,total_fuel,atotal_fuel,0.44416,40.5,68,245.3,307,296.7,327,
Ago_2015,4,3,Annual,1_yr,0,total_fuel,atotal_fuel,0.45664,40.5,68,245.3,307,296.7,327,
Ago_2015,4,4,Annual,1_yr,0,total_fuel,atotal_fuel,0.70844,40.5,68,245.3,307,296.7,327,
Ago_2015,4,5,Annual,1_yr,0,total_fuel,atotal_fuel,0.38726,40.5,68,245.3,307,296.7,327,
Ago_2015,4,6,Annual,1_yr,0,total_fuel,atotal_fuel,0.45524,40.5,68,245.3,307,296.7,327,
Ago_2015,5,1,Quadriennial,4_yrs,2,total_fuel,atotal_fuel,0.7576,57.8,80,344,538,457,610,-30.5
Ago_2015,5,2,Quadriennial,4_yrs,2,total_fuel,atotal_fuel,0.97436,57.8,80,344,538,457,610,52.3
Ago_2015,5,3,Quadriennial,4_yrs,2,total_fuel,atotal_fuel,0.79056,57.8,80,344,538,457,610,41.7
Ago_2015,5,4,Quadriennial,4_yrs,2,total_fuel,atotal_fuel,1.06,57.8,80,344,538,457,610,25.4
Ago_2015,5,5,Quadriennial,4_yrs,2,total_fuel,atotal_fuel,1.7,57.8,80,344,538,457,610,24.5
