Ano;Mes;rainfall;season
2012;Janeiro;0;0
2012;Fevereiro;0;0
2012;Março;0;0
2012;Abril;0;0
2012;Maio;0;0
2012;Junho;0;0
2012;Julho;"34,8";0
2012;Agosto;0;0
2012;Setembro;"19,6";1
2012;Outubro;"2,34";1
2012;Novembro;"250,6";1
2012;Dezembro;"4,141935484";1
2013;Janeiro;362;1
2013;Fevereiro;"4,748148148";1
2013;Março;"238,4";1
2013;Abril;"5,286666667";1
2013;Maio;62;1
2013;Junho;"1,713333333";1
2013;Julho;0;1
2013;Agosto;"0,051612903";2
2013;Setembro;"1,24";2
2013;Outubro;128;2
2013;Novembro;"229,6";2
2013;Dezembro;"363,6";2
2014;Janeiro;168;2
2014;Fevereiro;"242,2";2
2014;Março;"317,2";2
2014;Abril;"157,4";2
2014;Maio;"11,4";2
2014;Junho;0;2
2014;Julho;"1,8";2
2014;Agosto;0;3
2014;Setembro;"25,8";3
2014;Outubro;71;3
2014;Novembro;"188,8";3
2014;Dezembro;"275,2";3
2015;Janeiro;70;3
2015;Fevereiro;0;3
2015;Março;257;3
2015;Abril;"198,2";3
2015;Maio;"137,4";3
2015;Junho;0;3
2015;Julho;0;3
2015;Agosto;0;4
2015;Setembro;"119,6";4
2015;Outubro;"351,6";4
2015;Novembro;"225,2";4
