Data;Plot;Treatment;time_last_fire;fire_duration;segundos
julho_2015;17;Bienal;2_yrs;220;
julho_2015;17;Bienal;2_yrs;240;
julho_2015;17;Bienal;2_yrs;376;
julho_2015;17;Bienal;2_yrs;440;
julho_2015;10;Bienal;2_yrs;250;
julho_2015;10;Bienal;2_yrs;680;
julho_2015;10;Bienal;2_yrs;544;
julho_2015;23;Bienal;2_yrs;390;
julho_2015;23;Bienal;2_yrs;250;
julho_2015;23;Bienal;2_yrs;440;
julho_2015;23;Bienal;2_yrs;212;
julho_2015;2;Bienal;2_yrs;470;
julho_2015;2;Bienal;2_yrs;320;
julho_2015;2;Bienal;2_yrs;392;
julho_2015;2;Bienal;2_yrs;366;
julho_2015;20;anual;1_yr;480;
julho_2015;20;anual;1_yr;230;
julho_2015;20;anual;1_yr;516;
julho_2015;20;anual;1_yr;372;
julho_2015;16;anual;1_yr;520;
julho_2015;16;anual;1_yr;292;
julho_2015;11;anual;1_yr;220;
julho_2015;11;anual;1_yr;260;
julho_2015;4;anual;1_yr;290;
julho_2015;4;anual;1_yr;964;
julho_2015;4;anual;1_yr;232;
julho_2015;4;anual;1_yr;490;
julho_2015;7;quadrienal;4_yrs;290;
julho_2015;7;quadrienal;4_yrs;294;
julho_2015;7;quadrienal;4_yrs;638;
julho_2015;5;quadrienal;4_yrs;420;
julho_2015;5;quadrienal;4_yrs;260;
julho_2015;5;quadrienal;4_yrs;170;
julho_2015;5;quadrienal;4_yrs;256;
julho_2015;15;quadrienal;4_yrs;470;
julho_2015;15;quadrienal;4_yrs;334;
julho_2015;15;quadrienal;4_yrs;410;
julho_2015;15;quadrienal;4_yrs;198;
julho_2015;21;quadrienal;4_yrs;240;
julho_2015;21;quadrienal;4_yrs;622;
julho_2015;21;quadrienal;4_yrs;250;
julho_2015;21;quadrienal;4_yrs;1072;
