Data;Plot;Subplot;Treatment;fuel_moisture;;;;;;
Ago_2015;4;1;Annual;30.5;;;;;;
Ago_2015;4;2;Annual;29.3;;;;;;
Ago_2015;4;3;Annual;29.1;;;;;;
Ago_2015;4;4;Annual;6.8;;;;;;
Ago_2015;4;5;Annual;39.5;;;;;;
Ago_2015;4;6;Annual;45.8;;;;;;
Ago_2015;11;2;Annual;52.3;;;;;;
Ago_2015;11;3;Annual;41.7;;;;;;
Ago_2015;11;4;Annual;25.4;;;;;;
Ago_2015;11;5;Annual;24.5;;;;;;
Ago_2015;11;6;Annual;69.6;;;;;;
Ago_2015;16;1;Annual;28.7;;;;;;
Ago_2015;16;2;Annual;42.4;;;;;;
Ago_2015;16;3;Annual;20.6;;;;;;
Ago_2015;16;4;Annual;6.2;;;;;;
Ago_2015;16;5;Annual;33.8;;;;;;
Ago_2015;16;6;Annual;20.2;;;;;;
Ago_2015;20;1;Annual;30.2;;;;;;
Ago_2015;20;2;Annual;14.9;;;;;;
Ago_2015;20;3;Annual;15.7;;;;;;
Ago_2015;20;4;Annual;31.0;;;;;;
Ago_2015;20;5;Annual;6.8;;;;;;
Ago_2015;20;6;Annual;14.6;;;;;;
Ago_2015;2;1;Biennial;10.8;;;;;;
Ago_2015;2;2;Biennial;7.2;;;;;;
Ago_2015;2;3;Biennial;6.6;;;;;;
Ago_2015;2;4;Biennial;30.5;;;;;;
Ago_2015;2;5;Biennial;14.1;;;;;;
Ago_2015;10;4;Biennial;44.4;;;;;;
Ago_2015;17;1;Biennial;14.7;;;;;;
Ago_2015;17;2;Biennial;10.6;;;;;;
Ago_2015;17;3;Biennial;6.9;;;;;;
Ago_2015;17;4;Biennial;12.0;;;;;;
Ago_2015;17;5;Biennial;15.0;;;;;;
Ago_2015;23;1;Biennial;18.4;;;;;;
Ago_2015;23;2;Biennial;10.7;;;;;;
Ago_2015;23;3;Biennial;26.2;;;;;;
Ago_2015;23;4;Biennial;26.6;;;;;;
Ago_2015;23;5;Biennial;24.6;;;;;;
Ago_2015;5;1;Triennial;23.3;;;;;;
Ago_2015;5;2;Triennial;27.7;;;;;;
Ago_2015;5;3;Triennial;23.1;;;;;;
Ago_2015;5;4;Triennial;27.8;;;;;;
Ago_2015;5;5;Triennial;21.7;;;;;;
Ago_2015;5;6;Triennial;14.2;;;;;;
Ago_2015;7;1;Triennial;23.1;;;;;;
Ago_2015;7;2;Triennial;24.2;;;;;;
Ago_2015;7;3;Triennial;23.1;;;;;;
Ago_2015;7;4;Triennial;28.3;;;;;;
Ago_2015;7;5;Triennial;29.5;;;;;;
Ago_2015;7;6;Triennial;23.6;;;;;;
Ago_2015;15;1;Triennial;19.4;;;;;;
Ago_2015;15;2;Triennial;27.5;;;;;;
Ago_2015;15;3;Triennial;27.7;;;;;;
Ago_2015;15;4;Triennial;24.0;;;;;;
Ago_2015;15;5;Triennial;27.7;;;;;;
Ago_2015;15;6;Triennial;40.9;;;;;;
Ago_2015;21;1;Triennial;23.2;;;;;;
Ago_2015;21;2;Triennial;20.0;;;;;;
Ago_2015;21;3;Triennial;21.7;;;;;;
Ago_2015;21;4;Triennial;22.8;;;;;;
Ago_2015;21;6;Triennial;26.6;;;;;;
