data;Trat;sensor;limiar;tempo_sec
;2_anos;underground;above_60;0
;2_anos;underground;above_60;54
;2_anos;underground;above_60;0
;2_anos;underground;above_60;80
;2_anos;underground;above_60;200
;2_anos;underground;above_60;68
;2_anos;underground;above_60;0
;2_anos;underground;above_60;0
;2_anos;underground;above_60;0
;2_anos;underground;above_60;54
;2_anos;underground;above_60;0
;2_anos;underground;above_60;0
;2_anos;underground;above_60;68
;2_anos;underground;above_60;0
;2_anos;underground;above_60;0
;2_anos;underground;above_60;48
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;underground;above_100;0
;2_anos;soil;above_60;274
;2_anos;soil;above_60;190
;2_anos;soil;above_60;170
;2_anos;soil;above_60;354
;2_anos;soil;above_60;310
;2_anos;soil;above_60;140
;2_anos;soil;above_60;240
;2_anos;soil;above_60;200
;2_anos;soil;above_60;178
;2_anos;soil;above_60;296
;2_anos;soil;above_60;270
;2_anos;soil;above_60;220
;2_anos;soil;above_60;274
;2_anos;soil;above_60;300
;2_anos;soil;above_100;216
;2_anos;soil;above_100;90
;2_anos;soil;above_100;120
;2_anos;soil;above_100;198
;2_anos;soil;above_100;236
;2_anos;soil;above_100;190
;2_anos;soil;above_100;100
;2_anos;soil;above_100;160
;2_anos;soil;above_100;130
;2_anos;soil;above_100;112
;2_anos;soil;above_100;120
;2_anos;soil;above_100;130
;2_anos;soil;above_100;130
;2_anos;soil;above_100;176
;2_anos;soil;above_100;160
;1_ano;underground;above_60;0
;1_ano;underground;above_60;0
;1_ano;underground;above_60;0
;1_ano;underground;above_60;88
;1_ano;underground;above_60;0
;1_ano;underground;above_60;30
;1_ano;underground;above_60;46
;1_ano;underground;above_60;0
;1_ano;underground;above_60;0
;1_ano;underground;above_60;0
;1_ano;underground;above_60;150
;1_ano;underground;above_60;0
;1_ano;underground;above_60;0
;1_ano;underground;above_60;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;underground;above_100;0
;1_ano;soil;above_60;340
;1_ano;soil;above_60;170
;1_ano;soil;above_60;270
;1_ano;soil;above_60;316
;1_ano;soil;above_60;240
;1_ano;soil;above_60;350
;1_ano;soil;above_60;160
;1_ano;soil;above_60;194
;1_ano;soil;above_60;696
;1_ano;soil;above_60;460
;1_ano;soil;above_60;200
;1_ano;soil;above_60;200
;1_ano;soil;above_100;170
;1_ano;soil;above_100;90
;1_ano;soil;above_100;154
;1_ano;soil;above_100;180
;1_ano;soil;above_100;132
;1_ano;soil;above_100;210
;1_ano;soil;above_100;100
;1_ano;soil;above_100;110
;1_ano;soil;above_100;372
;1_ano;soil;above_100;170
;1_ano;soil;above_100;120
;1_ano;soil;above_100;104
;4_anos;underground;above_60;44
;4_anos;underground;above_60;0
;4_anos;underground;above_60;0
;4_anos;underground;above_60;0
;4_anos;underground;above_60;0
;4_anos;underground;above_60;0
;4_anos;underground;above_60;114
;4_anos;underground;above_60;102
;4_anos;underground;above_60;224
;4_anos;underground;above_60;364
;4_anos;underground;above_60;208
;4_anos;underground;above_60;356
;4_anos;underground;above_60;158
;4_anos;underground;above_60;38
;4_anos;underground;above_60;214
;4_anos;underground;above_60;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;84
;4_anos;underground;above_100;144
;4_anos;underground;above_100;0
;4_anos;underground;above_100;0
;4_anos;underground;above_100;36
;4_anos;underground;above_100;0
;4_anos;underground;above_100;50
;4_anos;underground;above_100;0
;4_anos;soil;above_60;504
;4_anos;soil;above_60;190
;4_anos;soil;above_60;222
;4_anos;soil;above_60;140
;4_anos;soil;above_60;310
;4_anos;soil;above_60;210
;4_anos;soil;above_60;194
;4_anos;soil;above_60;290
;4_anos;soil;above_60;330
;4_anos;soil;above_60;278
;4_anos;soil;above_60;144
;4_anos;soil;above_60;200
;4_anos;soil;above_60;190
;4_anos;soil;above_60;476
;4_anos;soil;above_60;712
;4_anos;soil;above_100;336
;4_anos;soil;above_100;120
;4_anos;soil;above_100;148
;4_anos;soil;above_100;90
;4_anos;soil;above_100;150
;4_anos;soil;above_100;152
;4_anos;soil;above_100;118
;4_anos;soil;above_100;190
;4_anos;soil;above_100;170
;4_anos;soil;above_100;172
;4_anos;soil;above_100;98
;4_anos;soil;above_100;150
;4_anos;soil;above_100;130
;4_anos;soil;above_100;278
;4_anos;soil;above_100;402
